id,title,abstract,keywords,
9649,创新模式下加强基础数学类课程建设与改革的必要性及其对策,数学是自然科学的基础，是其它科学研究的主要工具，数学的发展能更好更快地推动其它学科的发展。而基础数学研究在我国处于薄弱环节，对许多领域形成瓶颈制约。因此，加强基础数学类课程的建设，推动基础数学类课程的改革显得非常重要。本文在分析基础数学类课程建设现状的基础上，对如何加强和推动基础数学类课程的建设与改革提出了自己的一些看法和建议。,创新模式;基础数学;课程改革,
9650,基础数学对经济发展的促进作用,本交通过对教学发展历史的回顾，阐述了基础数学与经济问题的密切联系，认为基础数学不仅仅是思维的训练，而且对经济发展有着巨大的促进作用。,基础数学;数学文化;商品经济,
9652,浅谈结合基础数学进行辩证唯物主义教育,本文讨论了在向学生传授自然科学知识的同时，向其进行辩证唯物主义教育的问题。,基础数学;中断;转化;联系和发展,
9653,计算机技术与基础数学结合模式研究,本文研究了计算机技术与基础数学的结合领域和模式。,计算机技术;基础数学;结合模式,
9654,关于大学基础数学习题课的思考,讨论了大学基础数学习题课的意义、内容和教学的问题，分析了习题课在培养大学生数学能力方面的作用，讨论了教师在习题课中的作用。认为精选习题类型、总结和归纳知识点、构建知识结构、分析解题思路等可以帮助学生正确理解数学知识，培养数学能力。,大学基础数学;习题课;学生数学能力;知识框架,
9660,浅议计算机技术与基础数学的结合模式,计算机的飞速发展对各行各业都带来了巨大的变化，对于基础数学的影响也是有目共睹的。计算机技术已经深入应用到数学的各个方向，将数学问题利用计算机语言转变成计算机程序问题进行解决，提高了人工计算的速度和精确度。,计算机技术;数学;辅助计算,
9666,高校数学教学方法探讨,在高校教育教学工作中，数学教学占据了相当重要的部分，因此，为了更好地促进学生的发展，改革和加强高校教学势在必行。所以，在高校的教育教学过程中，一定要采取恰当合适的教育教学方法，这样才能更好的提升数学教学的效果，从而在一定程度上提升学生的学习效果。本文立足于我国高校数学教学的基本方法，对教学目标和作用进行分析，从而提出更加有效的教学方法。,高校数学教学;高等数学;作用;方法,
9670,应用数学及其交叉专业方向建设,针对现有数学学科专业体系存在内涵不够清晰，课程体系较混乱，且将应用数学割裂的问题，提出在现有专业体系框架下，建设新的应用数学及其交叉专业方向，目的是打破现有专业体系将应用数学割裂的局限，培养具有扎实的数学基础知识、较强的数学建模能力、科学计算能力及统计分析能力的新型应用数学及交叉专业人才，以适应现代应用数学发展的大趋势.,应用数学及交叉专业方向;专业课程体系;培养方案,
9671,异构多核平台下基础数学库寄存器分配方法,针对异构多核处理器协处理器数学函数中由于查表法和寄存器资源不足而导致的性能下降问题，提出一种基于热路径的寄存器分配方法，结合数学函数的相关路径特点和两类寄存器资源使用开销不一致的情况，对热路径和较少使用路径上的寄存器资源进行再分配过程，将较少使用路径上的高效寄存器资源与热路径上的耗时寄存器资源进行交换，最大限度消除热路径上的访存过程，以降低函数较少使用路径上的性能为代价从而提高函数热路径上的性能，从而达到提升函数整体性能的目的。实际数据表明，上述手段能够使协处理器典型数学函数的性能提升18 %以上，从而有效发挥协处理器的计算性能。,异构多核;查表;寄存器;热路径;数学库,
9672,连铸、初轧动态物流优化基础数学模型的研究,由于我国冶金工业连铸与初轧工艺并存，因此开展连铸与初轧动态物流的研究对增产节能具有重大意义．详细叙述了根据鞍钢生产布局和连铸与初轧工艺并存的特点而研制的连铸周期模型、轧制周期模型和实用温度模型。,连铸;初轧;数学模型,
